fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
fig-005531,1,"Pirate - Female, Skirt, Dark Brown Hair",4,35233,852751-1,Pirates Chess,2009,153
fig-005517,1,"Maiden - Black Hair, One-sided Head",4,35233,852751-1,Pirates Chess,2009,153
fig-005319,2,Soldier (Imperial Soldier II) - Scowl,4,35233,852751-1,Pirates Chess,2009,153
fig-005318,3,Soldier (Imperial Soldier II) - Black Beard,4,35233,852751-1,Pirates Chess,2009,153
fig-005317,2,Soldier (Imperial Soldier II) - Cheek Lines,4,35233,852751-1,Pirates Chess,2009,153
fig-005316,2,Soldier (Imperial Soldier II) - Brown Beard,4,35233,852751-1,Pirates Chess,2009,153
fig-005210,1,"Pirate - Anchor Tattoo, Black Legs, Blue Bandana",4,35233,852751-1,Pirates Chess,2009,153
fig-005209,1,"Pirate - Anchor Tattoo, Dark Green Legs, Red Bandana",4,35233,852751-1,Pirates Chess,2009,153
fig-005208,1,"Pirate - Anchor Tattoo, Blue Legs, Dark Green Bandana",4,35233,852751-1,Pirates Chess,2009,153
fig-009171,1,"Train Worker - Light Bluish Grey Torso, Dark Blue Legs, Red Scarf, Black Kepi",5,13854,10194-1,Emerald Night,2009,673
fig-009170,1,"Blue Torso, Light Bluish Gray Legs, Tan Hair",4,13854,10194-1,Emerald Night,2009,673
fig-009169,1,"Train Worker - Dark Blue Torso, Sand Blue Legs, Dark Orange Hair",4,13854,10194-1,Emerald Night,2009,673
fig-009409,1,"Man, Blue Overalls over Shirt, Blue Legs, Black Cap, Glasses",4,14036,7747-1,Wind Turbine Transport,2009,63
fig-009410,1,"Man, Blue and White Striped Overalls, Red Cap, Goatee Beard",4,14036,7747-1,Wind Turbine Transport,2009,63
fig-009415,1,"Worker, Blue Jacket with Orange Stripes, Blue Legs, Dark Orange Hair, Glasses",4,14142,7642-1,Garage,2009,63
fig-009412,1,"Worker, Blue Jacket with Orange Stripes, Dark Bluish Gray Legs, Black Helmet with Visor, Beard",5,2979,7686-1,Helicopter Transporter,2009,63
fig-009413,1,"Worker, Blue Jacket with Orange Stripes, Dark Bluish Gray Legs, Black Helmet with Visor, Orange Sunglasses",5,2979,7686-1,Helicopter Transporter,2009,63
fig-009411,1,"Worker, Blue Jacket with Orange Stripes, Dark Bluish Gray Legs, Black Cap, Silver Sunglasses",4,82515,7686-1,Helicopter Transporter,2009,63
fig-009202,1,"White Torso, Red Legs, Black Hair",4,4131,10196-1,Grand Carousel,2009,673
fig-009201,1,"Kid - White Torso, Light Blush Grey Legs, Black Hair",4,4131,10196-1,Grand Carousel,2009,673
fig-007462,1,"Classic Spaceman, Yellow with Airtanks (2446 Helmet)",5,1408,852697-1,Vintage Minifigure Collection Vol. 3,2009,535
fig-009200,1,"Kid - Red Torso, Dark Blue Legs, Black Cap",4,4131,10196-1,Grand Carousel,2009,673
fig-009199,1,"Red Torso, Blue Legs, Blue Cap",4,4131,10196-1,Grand Carousel,2009,673
fig-009198,1,"Blue Torso, Sand Blue Legs, Black Hair",4,4131,10196-1,Grand Carousel,2009,673
fig-009197,1,"Dark Blue Torso, Black Legs, Reddish Brown Hair",4,4131,10196-1,Grand Carousel,2009,673
fig-009196,1,"Kid - Medium Blue Torso, Dark Blue Legs, Reddish Brown Hair",4,4131,10196-1,Grand Carousel,2009,673
fig-009195,1,"Kid - Medium Blue Torso, Dark Blue Legs, red Cap",4,4131,10196-1,Grand Carousel,2009,673
fig-009194,1,"Dark Blue Torso, Dark Green Legs, Dark Red Hat",4,4131,10196-1,Grand Carousel,2009,673
fig-006888,1,"Knight (Black Falcon) - Black Legs, Black Hips, Rounded Shield, Neck-Protector, 3626b",4,1408,852697-1,Vintage Minifigure Collection Vol. 3,2009,535
fig-002042,1,"White Torso, Blue Overall, Red Cap",4,35468,852666-1,Brick Wall Photo Display,2009,425
fig-005549,1,"Pirate - Green Stripes, Reddish Brown Legs, Dark Green Bandana, Black Beard",4,106997,6239-1,Cannon Battle,2009,153
fig-008366,1,"Fire Fighter, Black Torso, Black Legs, White Hat",4,6696,10197-1,Fire Brigade,2009,155
fig-008365,1,"Fire Fighter, Black Torso, Black Legs, Tan Hair",4,6696,10197-1,Fire Brigade,2009,155
fig-008364,1,"Fire Fighter, Black Torso, Black Legs, Dark Brown Hair",4,6696,10197-1,Fire Brigade,2009,155
fig-004765,1,Soldier (Imperial Soldier) - Reissue,5,1408,852697-1,Vintage Minifigure Collection Vol. 3,2009,535
fig-009939,1,"Knight, Gold, Armor, Helmet with Visor and Dark Blue Plume",7,15458,7079-1,Drawbridge Defense,2009,193
fig-009940,1,"Queen, Blue Dress, Crown",5,15458,7079-1,Drawbridge Defense,2009,193
fig-009941,1,"Knight, Dark Blue, Helmet, Smile",4,15458,7079-1,Drawbridge Defense,2009,193
fig-005476,1,"Soldier (Imperial Soldier II) - Printed Shako, Smirk",5,106997,6239-1,Cannon Battle,2009,153
fig-009938,1,"Jester, Red and Blue",4,15458,7079-1,Drawbridge Defense,2009,193
fig-008267,1,"Man, Dark Blue Plaid Shirt, Dark Bluish Gray Legs, Red Hard Hat, Beard and Glasses",4,19669,7632-1,Crawler Crane,2009,56
fig-003820,1,"Rebel Trooper in Endor Uniform, Sand Green Legs, Black Eyes, Neck Bracket",5,5458,8038-1,The Battle of Endor,2009,158
fig-003819,1,"Rebel Trooper in Endor Uniform, Sand Green Legs, Brown Beard, Neck Bracket",5,5458,8038-1,The Battle of Endor,2009,158
fig-003815,1,"Paploo, Ewok, Tan Hood with Reddish Brown Face",3,5458,8038-1,The Battle of Endor,2009,158
fig-003814,1,"Princess Leia, Endor Outfit, Sand Green Top",4,5458,8038-1,The Battle of Endor,2009,158
fig-008266,1,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Silver Sunglasses",4,19669,7632-1,Crawler Crane,2009,56
fig-003813,1,"Wicket, Ewok, Dark Orange Hood",3,5458,8038-1,The Battle of Endor,2009,158
fig-003784,2,"Scout Trooper, Plain Black Head",4,5458,8038-1,The Battle of Endor,2009,158
fig-000866,1,"Power Miner, Beard Stubble",4,3347,8907-1,Rock Hacker,2009,439
fig-003812,1,"Chief Chirpa, Ewok",3,5458,8038-1,The Battle of Endor,2009,158
fig-008367,1,"Sand Blue Torso, White Legs, Reddish Brown Hair",4,6696,10197-1,Fire Brigade,2009,155
fig-007464,1,"Coast Guard, Yellow Jacket with Zipper, Radio and Badge, Light Bluish Gray Helmet, Sunglasses",4,2987,MFCN-2,Chinese Minifig Collection Volume 2,2009,535
fig-007465,1,"Man, Green Overalls over White Shirt, Reddish Brown Hair, Orange Sunglasses",4,2987,MFCN-2,Chinese Minifig Collection Volume 2,2009,535
fig-007466,1,"Man, Red Shirt with Dark Blue Arms, Red Hard Hat",4,2987,MFCN-2,Chinese Minifig Collection Volume 2,2009,535
fig-007467,1,"Woman, White Tank Top with Flowers, Red Legs, Reddish Brown Hair",4,2987,MFCN-2,Chinese Minifig Collection Volume 2,2009,535
fig-008265,1,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Moustache",4,8292,7746-1,Single-Drum Roller,2009,56
fig-003386,1,"Man, Floating Classic Spaceman on Shirt, Tan Legs",4,3235,8970-1,Robo Attack,2009,302
fig-003385,1,"Sunset with Beach and Palm Trees Silhouette on Shirt, Tan Legs, Red Sunglasses",4,3235,8970-1,Robo Attack,2009,302
fig-009614,1,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Stubble",4,14349,7637-1,Farm,2009,57
fig-009615,1,"Man, Green Overalls over Red Shirt, Tan Wide Brim Hat, Beard and Glasses",4,14349,7637-1,Farm,2009,57
fig-009616,1,"Woman, Tan Shirt with Two Pockets, Red Legs, Reddish Brown Hair",4,14349,7637-1,Farm,2009,57
fig-000346,1,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Red Legs, Silver Helmet",4,1531,6191-1,Fire Fighter Building Set,2009,22
fig-001103,1,"Man - Red Torso, Blue Legs, Reddish Brown Hair",4,14477,3844-1,Creationary,2009,502
fig-009917,1,"Dwarf, Black Beard, Copper Helmet",5,1479,852702-1,Battle Pack Dwarfs,2009,193
fig-009916,1,"Dwarf, Dark Brown Beard, Metallic Gold Winged Helmet",5,1479,852702-1,Battle Pack Dwarfs,2009,193
fig-009915,1,"Dwarf, Dark Brown Beard, Metallic Silver Winged Helmet",5,1479,852702-1,Battle Pack Dwarfs,2009,193
fig-005211,1,"Pirate - Anchor Tattoo, Castaway, Blue Bandana",5,14294,6241-1,Loot Island,2009,153
fig-003722,1,R7-A7,4,1599,7751-1,Ahsoka's Starfighter and Vulture Droid,2009,158
fig-003388,1,Dr. Inferno with Metallic Silver Claw,5,3235,8970-1,Robo Attack,2009,302
fig-003782,1,"Clone Commander, Black Pauldron and Kama",7,11613,8014-1,Clone Walker Battle Pack,2009,158
fig-003387,1,Female with Rainbow Stars on Tank Top and White Legs,4,3235,8970-1,Robo Attack,2009,302
fig-003719,1,Turk Falso,3,4233,7753-1,Pirate Tank,2009,158
fig-003718,1,Hondo Ohnaka,5,4233,7753-1,Pirate Tank,2009,158
fig-010633,1,"Worker - Orange Torso, Orange Legs, Red Helmet, Glasses",4,2866,5642-1,Tipper Truck,2009,56
fig-010437,2,Buzz Droid - 30367c,13,1599,7751-1,Ahsoka's Starfighter and Vulture Droid,2009,158
fig-005558,1,"Pirate - Blue Vest, Dark Green Legs, Dark Green Bandana, Long Moustache",4,14294,6241-1,Loot Island,2009,153
fig-009914,1,"Dwarf, Dark Orange Beard, Copper Helmet",5,1479,852702-1,Battle Pack Dwarfs,2009,193
fig-002302,1,Agent Swipe,5,6383,8967-1,Gold Tooth's Getaway,2009,302
fig-009913,1,"Dwarf, Dark Orange Beard, Metallic Silver Helmet",5,1479,852702-1,Battle Pack Dwarfs,2009,193
fig-005543,1,"Pirate - Green Stripes, Black Legs, Black Tricorne",4,12084,6240-1,Kraken Attackin',2009,153
fig-000436,1,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat",4,5254,7631-1,Dump Truck,2009,56
fig-000617,1,"Red Torso, Orange Legs, Black Hair",4,13802,5560-1,Large Pink Brick Box,2009,22
fig-005213,1,"Pirate - Anchor Tattoo, Green Legs, Blue Bandana",4,12084,6240-1,Kraken Attackin',2009,153
fig-000077,1,"Doctor, White Shirt with Star of Life Logo, Blue Cap, Glasses",4,15012,30000-1,Doctor With Car,2009,60
fig-000435,1,"Man, Green Overalls over Red Shirt, Blue Cap",4,6957,7634-1,Tractor,2009,57
fig-007369,1,"Man, Orange Overalls over Blue Sweater, Black Legs, Dark Bluish Gray Hat, Brown Eyebrows",4,2996,10216-1,Winter Village Bakery,2010,227
fig-001337,1,Skier,4,13208,8684-12,Skier,2010,537
fig-001061,1,Magician (CMF),5,11138,8683-9,Magician,2010,536
fig-000908,1,"Lifeguard, Female",4,13285,8684-8,Lifeguard,2010,537
fig-007371,1,"Boy, Plain Black Torso, Short Tan Legs",4,2996,10216-1,Winter Village Bakery,2010,227
fig-003833,1,"Luke Skywalker, White Robe, Straight Tan Hair, White Pupils",4,7595,8092-1,Luke's Landspeeder,2010,158
fig-010450,1,Sentry Droid,8,7595,8092-1,Luke's Landspeeder,2010,158
fig-007370,1,"Boy, Plaid Shirt, Short Blue Legs, Dark Blue Hood",4,2996,10216-1,Winter Village Bakery,2010,227
fig-009365,1,"White Torso, Blue Legs, Dark Orange Hair",4,3554,5508-1,Deluxe Brick Box,2010,22
fig-009633,1,"Man, Black Vest and Tie, Black Legs, Black Hair, Glasses",4,3206,3222-1,Helicopter and Limousine,2010,53
fig-003832,1,"Obi-Wan Kenobi, Old, Tan Robes, Hair, White Pupils, Gray Beard",4,7595,8092-1,Luke's Landspeeder,2010,158
fig-009364,1,"Orange Torso, Red Legs, Dark Brown Hair",4,30080,5508-1,Deluxe Brick Box,2010,22
fig-002253,1,Space Police III - Brick Daddy,4,12076,5984-1,Lunar Limo,2010,141
fig-002254,1,Space Police III - Jawson,3,12076,5984-1,Lunar Limo,2010,141
fig-007368,1,"Chef, Red Neckerchief, Light Bluish Gray Legs, Light Bluish Gray Beard",4,2996,10216-1,Winter Village Bakery,2010,227
fig-010425,1,Space Police 3 Droid - K99,10,5444,5985-1,Space Police Central,2010,141
fig-003836,1,Skeleton with Straight Mechanical Arms  (3626c Head),6,133320,8089-1,Hoth Wampa Cave,2010,158
fig-002255,1,Space Police III - Officer,6,12076,5984-1,Lunar Limo,2010,141
fig-000075,1,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11,7595,8092-1,Luke's Landspeeder,2010,158
fig-001070,1,Tribal Hunter (CMF),6,3509,8683-1,Tribal Hunter,2010,536
fig-006634,1,"Rex, Light Bluish Gray",5,10946,8188-1,Fire Blaster,2010,439
fig-006139,1,"Ginny Weasley, Light Bluish Gray Sweater with Zipper",4,15407,4840-1,The Burrow,2010,246
fig-006137,1,"Bellatrix Lestrange, Long Black Hair over Shoulder, Black Dress",4,15407,4840-1,The Burrow,2010,246
fig-006136,1,Molly Weasley in Apron with Pocket,4,15407,4840-1,The Burrow,2010,246
fig-006135,1,"Arthur Weasley, Open Sand Green Jacket",4,15407,4840-1,The Burrow,2010,246
fig-006138,1,Fenrir Greyback,4,15407,4840-1,The Burrow,2010,246
fig-006130,1,"Harry Potter, Open Dark Blue Jacket over White Shirt, Black Legs",4,15407,4840-1,The Burrow,2010,246
fig-006633,1,"Combustix, Trans-Yellow",2,10946,8188-1,Fire Blaster,2010,439
fig-007366,1,"Man, Blue Jacket with Orange Stripes, Dark Blue Legs, Black Hat, Glasses and Beard",4,35438,10216-1,Winter Village Bakery,2010,227
fig-007373,1,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, Blue Legs, Bright Light Yellow Hair",4,2996,10216-1,Winter Village Bakery,2010,227
fig-007372,1,"Woman, Cardigan Tied with Bow and Necklace, Red Skirt (3626bpr0043 Head)",4,2996,10216-1,Winter Village Bakery,2010,227
fig-001814,10,"Birthday Boy - White Torso, Red Legs, Reddish Brown Hair",4,26211,852998-1,Birthday Party Kit,2010,501
fig-009303,1,"Man, Dark Blue Plaid Shirt, Blue Legs, Dark Brown Hair",4,10867,3221-1,LEGO Truck,2010,63
fig-009302,1,"Man, Blue Overalls over White V-Neck Shirt, Red Cap, Glasses",4,10867,3221-1,LEGO Truck,2010,63
fig-009634,1,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, Light Bluish Gray Legs, Reddish Brown Hair, Open Mouth",4,3206,3222-1,Helicopter and Limousine,2010,53
fig-003807,1,"Zev Senesca, Orange Rebel Pilot Outfit",4,133320,8089-1,Hoth Wampa Cave,2010,158
fig-011198,1,Wampa (Big Fig) - Tan Nose,7,133320,8089-1,Hoth Wampa Cave,2010,158
fig-009637,1,"Man, Medium Blue Shirt with Palm Trees and Sunset, Dark Blue Legs, Black Hair",4,6975,3182-1,Airport,2010,53
fig-009636,1,"Airline Worker, Blue Jacket with Tie and Plane Logo, Light Bluish Gray Legs, Reddish Brown Hair",4,6975,3182-1,Airport,2010,53
fig-001878,1,"Pilot, Black Torso, Black Legs, Black Hat",4,6975,3182-1,Airport,2010,53
fig-009688,1,"Boy, White and Blue Hoodie, Short Light Bluish Gray Legs, Dark Orange Hair",4,13043,8403-1,City House,2010,52
fig-009687,1,"Woman, White Vest with Stars, Green Legs, Black Hair",4,13043,8403-1,City House,2010,52
fig-009686,1,"Man, Red Top with Dark Blue Arms, White Legs, Black Hair, Stubble",4,13043,8403-1,City House,2010,52
fig-010093,1,"Lion Knight, Armour, Helmet with Red Plume",6,13250,7947-1,Prison Tower Rescue,2010,196
fig-010092,1,"Dragon Knight, Dark Green, Helmet with Dark Green Plume, Moustache and Stubble",5,13250,7947-1,Prison Tower Rescue,2010,196
fig-000444,1,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Cap, Yellow Life Vest, Silver Sunglasses",5,3079,30011-1,Police Dinghy,2010,61
fig-002299,1,Space Police III - Officer,5,3686,5983-1,SP Undercover Cruiser,2010,141
fig-009635,1,"Man, Black Suit and Tie, Black Hat, Silver Sunglasses",4,3206,3222-1,Helicopter and Limousine,2010,53
fig-000892,1,Ninja (CMF),4,11217,8683-12,Ninja,2010,536
fig-010091,1,"Lion Knight, Helmet, Beard",4,13250,7947-1,Prison Tower Rescue,2010,196
fig-002441,1,Atlantis Squid Warrior,4,91884,9781409306269-1,Atlantis: The Menace from the Deep - Activity Book,2010,497
fig-009632,1,"Pilot, Black Suit with Tie and Airplane Badge, Black Hat, Orange Sunglasses",4,3206,3222-1,Helicopter and Limousine,2010,53
fig-007374,1,"Woman, Cardigan Tied with Bow and Necklace, Red Skirt (3626bpr0892 Head)",4,35438,10216-1,Winter Village Bakery,2010,227
fig-007375,1,"Man, Orange Overalls over Blue Sweater, Black Legs, Dark Bluish Gray Hat",4,35438,10216-1,Winter Village Bakery,2010,227
fig-001048,1,Demolition Dummy (CMF),3,10319,8683-8,Demolition Dummy,2010,536
fig-000891,1,Nurse (CMF),4,2668,8683-11,Nurse,2010,536
fig-003837,1,"Luke Skywalker, Hoth Outfit, Tan Hat, Light Bluish Gray Legs",5,133320,8089-1,Hoth Wampa Cave,2010,158
fig-009408,1,"Boy, White and Blue Hoodie, Short Light Bluish Gray Legs, Red Cap",4,14286,7848-1,Toys 'R' Us Truck,2010,63
fig-009407,1,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, Blue Legs, Reddish Brown Hair",4,14286,7848-1,Toys 'R' Us Truck,2010,63
fig-006769,1,Maiden (Kingdoms) - Dark Orange Hair,4,13250,7947-1,Prison Tower Rescue,2010,196
fig-000896,1,Disco Dude,4,10639,8684-13,Disco Dude,2010,537
fig-001117,1,"Classic Spaceman, White with Airtanks (2446 Helmet) (3626c Head)",5,13410,2855028-1,Exclusive Spaceman Magnet,2010,501
fig-006315,1,Ostrich Jockey,4,9699,7570-1,The Ostrich Race,2010,271
fig-000343,1,"Man, White and Blue Hoodie, Green Legs, Dark Brown Hair",4,13057,3177-1,Small Car,2010,63
fig-006314,1,Sheik Amar,4,9699,7570-1,The Ostrich Race,2010,271
fig-006313,1,"Dastan, Shirtless with Scabbard",5,9699,7570-1,The Ostrich Race,2010,271
fig-002288,1,Space Police III - Officer,6,5444,5985-1,Space Police Central,2010,141
fig-002287,1,Space Police III - Officer,7,5444,5985-1,Space Police Central,2010,141
fig-000454,1,"Dragon Knight, Dark Green, Helmet, Stubble",4,3350,30061-1,Attack Wagon,2010,196
fig-002285,1,Space Police III - Craniac,4,5444,5985-1,Space Police Central,2010,141
fig-010090,1,"Dragon Knight, Dark Green, Helmet, Stern",4,13250,7947-1,Prison Tower Rescue,2010,196
fig-006269,1,"Female, Dark Pink Vest and Necklace, White Legs, Dark Brown Hair French Braided",4,3787,852948-1,Female Minifigure Magnet Set,2010,501
fig-000087,1,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet with Visor, Cheek Lines",5,12298,7213-1,Off-Road Fire Truck & Fireboat,2010,58
fig-003857,1,EV-A4-D,16,7793,8095-1,General Grievous' Starfighter,2010,158
fig-003809,2,"Rebel Trooper in Hoth Uniform, Tan Hat, Orange Chin Line",6,433,8083-1,Rebel Trooper Battle Pack,2010,158
fig-003808,1,"Rebel Officer in Hoth Outfit, Tan Hat",6,433,8083-1,Rebel Trooper Battle Pack,2010,158
fig-001087,100,"Woman, Blue Torso with White Arms, White Legs",3,7847,2000409-1,Window Exploration Bag,2010,507
fig-000046,1,Surfer (CMF),4,9012,8684-15,Surfer,2010,537
fig-003844,1,"Cad Bane, Dark Bluish Gray Legs",5,10712,8098-1,Clone Turbo Tank,2010,158
fig-001097,1,"Blue Torso, Green Legs, Lime Cap",4,11778,5898-1,Car Building Set,2010,22
fig-003843,1,"Aayla Secura, Medium Blue",4,10712,8098-1,Clone Turbo Tank,2010,158
fig-003845,1,"Clone Trooper, Phase I Armor, Brown Eyes, Black Rangefinder",5,10712,8098-1,Clone Turbo Tank,2010,158
fig-003847,1,"Clone Commander, Black Pauldron",6,10712,8098-1,Clone Turbo Tank,2010,158
fig-003856,1,Nahdar Vebb,3,7793,8095-1,General Grievous' Starfighter,2010,158
fig-000489,1,Buzz Lightyear with Molded Head,7,801,7593-1,Buzz's Star Command Spaceship,2010,275
fig-000448,1,Woody with Molded Head,3,4423,7597-1,Western Train Chase,2010,275
fig-001059,1,Rex,4,4423,7597-1,Western Train Chase,2010,275
fig-003220,1,Jessie with Molded Head,3,4423,7597-1,Western Train Chase,2010,275
fig-000857,1,Max (LEGO Club),4,4649,852996-1,Max,2010,301
fig-010089,1,"Dragon Knight, Dark Green, Wide Brim Helmet, Angry",4,4601,7948-1,Outpost Attack,2010,196
fig-003232,1,Zurg,6,801,7593-1,Buzz's Star Command Spaceship,2010,275
fig-010088,1,"Lion Knight, Archer, Helmet, Quiver",5,4601,7948-1,Outpost Attack,2010,196
fig-003855,1,"General Grievous, Printed, Tan",8,7793,8095-1,General Grievous' Starfighter,2010,158
fig-009103,1,"Senate Commando, Plain Legs, Plain Head",4,8403,853037-1,Star Wars Magnet Set,2010,501
fig-007619,1,Race Driver - Team Daredevil 8,5,27216,8898-1,Wreckage Road,2010,123
fig-007618,1,Race Driver - Team Daredevil 7,5,27216,8898-1,Wreckage Road,2010,123
fig-007617,1,Race Driver - Bart Blaster,5,27216,8898-1,Wreckage Road,2010,123
fig-007616,1,Race Driver - Billy Bob Blaster,5,27216,8898-1,Wreckage Road,2010,123
fig-000018,1,Alien,3,1281,30070-1,Alien Space Ship,2010,275
fig-006627,1,Eruptorr (Big Fig),12,5572,8191-1,Lavatraz,2010,439
fig-006628,1,"Duke, Light Bluish Gray",5,5572,8191-1,Lavatraz,2010,439
fig-009613,1,"Man, Green Overalls over Red Shirt, Red Cap, Beard and Glasses",4,4890,7684-1,Pig Farm & Tractor,2010,57
fig-009612,1,"Woman, Blue Overalls over White V-Neck Shirt, Reddish Brown Hair",4,4890,7684-1,Pig Farm & Tractor,2010,57
fig-006626,1,"Firax, Trans Orange",2,15810,8189-1,Magma Mech,2010,439
fig-008050,1,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Silver Helmet",4,12461,30010-1,Fire Chief,2010,58
fig-006632,1,"Power Miner, Engineer with Armor and Helmet",6,15810,8189-1,Magma Mech,2010,439
fig-009227,1,"Crew Member - Blue Torso, Blue Legs, Blue Cap",4,9519,10213-1,Shuttle Adventure,2010,673
fig-009225,1,"Astronaut - White Torso and Legs, Gold Visor, Female",5,9519,10213-1,Shuttle Adventure,2010,673
fig-008035,1,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Sunglasses",4,12298,7213-1,Off-Road Fire Truck & Fireboat,2010,58
fig-009226,1,"Astronaut - White Torso and Legs, Gold Visor, Male",5,9519,10213-1,Shuttle Adventure,2010,673
fig-000801,1,"Man, Green Overalls over Red Shirt, Black Cap",4,4776,7566-1,Farmer,2010,57
fig-001182,1,Zombie (CMF),3,7759,8683-5,Zombie,2010,536
fig-006629,1,"Doc, Light Bluish Gray",5,5572,8191-1,Lavatraz,2010,439
fig-010087,1,"Lion Knight, Wide Brim Helmet, Cheek Lines",4,4601,7948-1,Outpost Attack,2010,196
fig-000316,1,"Boba Fett, White Armor, Plain Black Head",4,4539,2853835-1,White Boba Fett Figure,2010,158
fig-000905,1,Karate Master,4,13885,8684-14,Karate Master,2010,537
fig-009375,1,"Red Torso, Blue Legs, Reddish Brown Hair",4,13871,5899-1,House Building Set,2010,22
fig-009374,1,"Red Torso, Green Overall, Dark Brown Hair",4,13871,5899-1,House Building Set,2010,22
fig-003221,1,Stinky Pete,3,5705,7594-1,Woody's Roundup!,2010,275
fig-000486,1,Race Driver - Team Daredevil 6,4,4412,30031-1,World Race Powerboat,2010,123
fig-002437,1,Bobby,5,9837,8072-1,Sea Jet,2010,315
fig-004741,1,"Train Machinist - White Torso, Blue Overall, Blue Hat",5,74064,7939-1,Cargo Train,2010,66
fig-004740,1,"Worker - Orange Safety Vest, Blue Legs, Red Helmet, Silver Glasses",4,74064,7939-1,Cargo Train,2010,66
fig-000038,1,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair",4,12851,2824-1,City Advent Calendar 2010,2010,208
fig-000067,1,"Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard",4,12851,2824-1,City Advent Calendar 2010,2010,208
fig-000120,1,"Santa, Plain Yellow, Black Hips",5,12851,2824-1,City Advent Calendar 2010,2010,208
fig-007599,1,Race Driver - Team Daredevil 1,5,8179,8863-1,Blizzard's Peak,2010,123
fig-007600,1,Race Driver - Team Daredevil 2,5,8179,8863-1,Blizzard's Peak,2010,123
fig-004739,1,"Worker - Orange Safety Vest, Blue Legs, Red Helmet, Glasses",4,74064,7939-1,Cargo Train,2010,66
fig-004742,1,"Worker - Medium Blue Torso, Blue Overall, Glasses",4,74064,7939-1,Cargo Train,2010,66
fig-003233,1,Lots-o'-Huggin' Bear with Dirt Stains,3,4454,7596-1,Trash Compactor Escape,2010,275
fig-003239,1,Woody with Dirt Stains,3,4454,7596-1,Trash Compactor Escape,2010,275
fig-003240,1,Alien with Purple Stain on Face,3,4454,7596-1,Trash Compactor Escape,2010,275
fig-004768,1,"Conductor - Dark Blue Jacket, Dark Bluish Grey Legs, Dark Red Hat",4,8122,7938-1,Passenger Train,2010,66
fig-004769,1,"Woman - White Shirt with Stars, White Legs",4,8122,7938-1,Passenger Train,2010,66
fig-004770,1,"Man - Hawaiian Shirt, Dark Blue Legs",4,8122,7938-1,Passenger Train,2010,66
fig-007613,1,Race Driver - Team Daredevil 4,4,4499,8899-1,Gator Swamp,2010,123
fig-007612,1,Race Driver - Team Daredevil 3,4,4499,8899-1,Gator Swamp,2010,123
fig-007611,1,Race Official 3,4,4499,8899-1,Gator Swamp,2010,123
fig-007610,1,Race Driver - Billy Bob Blaster,5,4499,8899-1,Gator Swamp,2010,123
fig-007609,1,Race Driver - Bubba Blaster,5,4499,8899-1,Gator Swamp,2010,123
fig-000744,1,"Santa, Plain Red",5,12851,2824-1,City Advent Calendar 2010,2010,208
fig-003236,1,Buzz Lightyear with Dirt Stains,7,8898,7599-1,Garbage Truck Getaway,2010,275
fig-003235,1,Jessie with Dirt Stains,3,8898,7599-1,Garbage Truck Getaway,2010,275
fig-007595,1,Race Driver - Bart Blaster,4,8179,8863-1,Blizzard's Peak,2010,123
fig-007596,1,Race Driver - Bubba Blaster,4,8179,8863-1,Blizzard's Peak,2010,123
fig-007597,1,Race Driver - Billy Bob Blaster,4,8179,8863-1,Blizzard's Peak,2010,123
fig-007598,1,Race Official 1,5,8179,8863-1,Blizzard's Peak,2010,123
fig-003234,1,Twitch,6,8898,7599-1,Garbage Truck Getaway,2010,275
fig-003824,1,Thi-Sen,3,9935,8085-1,Freeco Speeder,2010,158
fig-003825,1,"Anakin Skywalker, Dark Blue Hood",4,9935,8085-1,Freeco Speeder,2010,158
fig-003241,1,Alien with Yellow Stain on Face,3,4454,7596-1,Trash Compactor Escape,2010,275
fig-000457,1,"Harry Potter, Gryffindor Sweater with Crest",4,4924,4738-1,Hagrid's Hut,2010,246
fig-006075,1,"Rubeus Hagrid, Dark Brown Overcoat",3,4924,4738-1,Hagrid's Hut,2010,246
fig-006076,1,"Hermione Granger, Gryffindor Sweater with Crest",4,4924,4738-1,Hagrid's Hut,2010,246
fig-006077,1,"Ron Weasley, Gryffindor Sweater with Crest",4,4924,4738-1,Hagrid's Hut,2010,246
fig-008376,1,"Bride - Mannequin, Medium Blue Underdress",4,6619,10211-1,Grand Emporium,2010,155
